atc_code,bnf_code_presc,bnf_name,form,total_items
R03AC02,0301011R0BIAFAP,Salamol 100micrograms/dose inhaler CFC free (Teva),MDI,7373702
R03AC02,0301011R0AAAPAP,Salbutamol 100micrograms/dose inhaler CFC free,MDI,7315130
R03AK08,0302000C0BQAABX,Fostair 100micrograms/dose / 6micrograms/dose inhaler,MDI,3813446
R03AC02,0301011R0BEAIAP,Ventolin 100micrograms/dose Evohaler,MDI,3462642
R03BA01,0302000C0BPABBF,Clenil Modulite 100micrograms/dose inhaler,MDI,2656756
R03AL09,0302000AABBAAAA,Trimbow 87microg/dose / 5microg/dose / 9microg/dose inh,MDI,2109057
R03AL08,0302000Z0BBAAAA,Trelegy Ellipta 92microg/55microg/22microg/dose dry pdr inh,DPI,1407956
R03AK08,0302000C0BQABBZ,Fostair 200micrograms/dose / 6micrograms/dose inhaler,MDI,1339036
R03AK08,0302000C0BRAABY,Fostair NEXThaler 100microg/dose / 6microg/dose dry pdr inh,DPI,1256597
R03AK07,0302000K0BDABAM,Symbicort 200/6 Turbohaler,DPI,1184400
R03AL03,0301040W0BBAAAA,Anoro Ellipta 55microg/dose / 22microg/dose dry pdr inh,DPI,1076797
R03AC02,0301011R0BWAABZ,Easyhaler Salbutamol sulfate 100micrograms/dose dry pdr inh,DPI,791873
R03BB04,0301020Q0BCAAAD,Braltus 10microgram inhalation pdr caps with Zonda inhaler,DPI,754584
R03BA01,0302000C0BPAABE,Clenil Modulite 50micrograms/dose inhaler,MDI,709375
R03BB04,0301020Q0BBACAC,Spiriva Respimat 2.5microg/dose inhalation soln,SMI,662895
R03AK10,0302000V0BBABAB,Relvar Ellipta 92microg/dose / 22microg/dose dry pdr inh,DPI,653814
R03AC02,0301011R0AABUBU,Salbutamol 100micrograms/dose breath actuated inh CFC free,MDI,557545
R03BA01,0302000C0BPACBV,Clenil Modulite 200micrograms/dose inhaler,MDI,519668
R03AK08,0302000C0BUAABX,Luforbec 100micrograms/dose / 6micrograms/dose inhaler,MDI,518979
R03AC02,0301011R0BIAGBU,Salamol 100micrograms/dose Easi-Breathe inhaler,MDI,490820
R03AK07,0302000K0BHAAAM,DuoResp Spiromax 160microg/dose / 4.5microg/dose dry pdr inh,DPI,478078
R03BB07,0301020T0BBAAAA,Incruse Ellipta 55micrograms/dose dry powder inhaler,DPI,397973
R03AK08,0302000C0BRABCA,Fostair NEXThaler 200microg/dose / 6microg/dose dry pdr inh,DPI,377340
R03AK07,0302000K0BDAAAL,Symbicort 100/6 Turbohaler,DPI,363952
R03AK10,0302000V0BBAAAA,Relvar Ellipta 184microg/dose / 22microg/dose dry pdr inh,DPI,353735
R03BB04,0301020Q0BBADAE,Spiriva Respimat 2.5microg/dose inhalation soln refill cart,SMI,349090
R03BA01,0302000C0BJABBF,Qvar 100 inhaler,MDI,330205
R03AK07,0302000K0BDACAU,Symbicort 400/12 Turbohaler,DPI,325133
R03AK06,0302000N0BCAEBF,Seretide 125 Evohaler,MDI,318947
R03AC02,0301011R0BEAHAQ,Ventolin 200micrograms/dose Accuhaler,DPI,314379
R03AK06,0302000N0BCADBE,Seretide 50 Evohaler,MDI,308373
R03AL09,0302000AABBACAC,Trimbow NEXThaler 88microg/5microg/9microg/dose dry pdr inh,DPI,303249
R03BA01,0302000C0BTACBF,Soprobec 100micrograms/dose inhaler,MDI,281596
R03AK06,0302000N0BCAFBG,Seretide 250 Evohaler,MDI,261642
R03AK07,0302000K0BHABAU,DuoResp Spiromax 320microg/dose / 9microg/dose dry pdr inh,DPI,231014
R03AC03,0301011V0AABBBB,Terbutaline 500micrograms/dose dry powder inhaler,DPI,216612
R03AL04,0301040Y0BBAAAA,Ultibro Breezhaler 85microg/43microg pdr caps with dev,DPI,211916
R03AL06,0301040X0BBAAAA,Spiolto Respimat 2.5microg/dose/2.5microg/dose soln,SMI,210263
R03AK06,0302000N0BCABAY,Seretide 250 Accuhaler,DPI,193195
R03AK06,0302000N0BCACAZ,Seretide 500 Accuhaler,DPI,189716
R03AK11,0302000N0BDAABJ,Flutiform 125micrograms/dose / 5micrograms/dose inhaler,MDI,186677
R03AK07,0302000K0BIABAM,Fobumix Easyhaler 160microg / 4.5microg/dose dry pdr inh,DPI,180942
R03BA01,0302000C0BJAABE,Qvar 50 inhaler,MDI,180688
R03BB06,0301020S0BBAAAA,Seebri Breezhaler 44microgram inhalation pdr caps with dev,DPI,166079
R03AC03,0301011V0BBARBB,Bricanyl 500micrograms/dose Turbohaler,DPI,164841
R03AL05,0301040V0BBAAAA,Duaklir 340micrograms/dose / 12micrograms/dose Genuair,DPI,158718
R03BA01,0302000C0BNAABU,Easyhaler Beclometasone 200micrograms/dose dry pdr inhaler,DPI,157957
R03BB04,0301020Q0AAACAC,Tiotropium brom 2.5microg/dose soln for inhalation CFCfree,SMI,155654
R03AK11,0302000N0BDABBK,Flutiform 250micrograms/dose / 10micrograms/dose inhaler,MDI,148673
R03BB04,0301020Q0AAABAB,Tiotropium bromide 18microgram inhalation powder capsules,DPI,146900
R03AK06,0302000N0BFAABF,Sirdupla 25micrograms/dose / 125micrograms/dose inhaler,MDI,142586
R03AK08,0302000C0AABXBX,Beclometasone 100microg/Formoterol 6microg/dose inh CFCfree,MDI,131710
R03AK06,0302000N0BCAAAX,Seretide 100 Accuhaler,DPI,126243
R03AK06,0302000N0BFABBG,Sirdupla 25micrograms/dose / 250micrograms/dose inhaler,MDI,123234
R03BB04,0301020Q0BBABAB,Spiriva 18microgram inhalation powder capsules,DPI,120491
R03BB01,0301020I0AAANAN,Ipratropium bromide 20micrograms/dose inhaler CFC free,MDI,119562
R03AL06,0301040X0BBABAB,Spiolto Respimat 2.5microg/dose / 2.5microg/dose soln refill,SMI,118015
R03BB05,0301020R0BBAAAA,Eklira 322micrograms/dose Genuair,DPI,112919
R03AK06,0302000N0BIABBG,Sereflo 25micrograms/dose / 250micrograms/dose inhaler,MDI,109791
R03AL11,0302000Y0BBAAAA,Trixeo Aerosphere 5microg / 7.2microg / 160microg/dose inh,MDI,109233
R03AK06,0302000N0BIAABF,Sereflo 25micrograms/dose / 125micrograms/dose inhaler,MDI,107936
R03AL09,0302000AABBABAB,Trimbow 172microg/dose / 5microg/dose / 9microg/dose inh,MDI,105219
R03BA01,0302000C0AABFBF,Beclometasone 100micrograms/dose inhaler CFC free,MDI,100832
R03BA02,0302000K0BBAHAG,Pulmicort 200 Turbohaler,DPI,99503
R03AC02,0301011R0BWABAQ,Easyhaler Salbutamol sulfate 200micrograms/dose dry pdr inh,DPI,95776
R03BA02,0302000K0BGAAAK,Easyhaler Budesonide 100micrograms/dose dry powder inhaler,DPI,91606
R03AK08,0302000C0BUABBZ,Luforbec 200micrograms/dose / 6micrograms/dose inhaler,MDI,88549
R03AK07,0302000K0AAAMAM,Budesonide 200mcg/dose / Formoterol 6mcg/dose dry powder inh,DPI,87150
R03BA01,0302000C0BSABBF,Kelhale 100micrograms/dose inhaler,MDI,84480
R03BA01,0302000C0BJAFBH,Qvar 100micrograms/dose Easi-Breathe inhaler,MDI,83082
R03AK07,0302000K0BDADBB,Symbicort 200microg/dose / 6microg/dose pressurised inh,MDI,80786
R03AC12,0301011U0AAAHAH,Salmeterol 25micrograms/dose inhaler CFC free,MDI,80035
R03BA02,0302000K0BGABAG,Easyhaler Budesonide 200micrograms/dose dry powder inhaler,DPI,77247
R03AK06,0302000N0AABFBF,Fluticasone 125mcg/dose / Salmeterol 25mcg/dose inh CFC free,MDI,72797
R03AK06,0302000N0BGABBF,AirFluSal 25micrograms/dose / 125micrograms/dose inhaler,MDI,67180
R03BA01,0302000C0BTAABE,Soprobec 50micrograms/dose inhaler,MDI,64200
R03AK06,0302000N0AABGBG,Fluticasone 250mcg/dose / Salmeterol 25mcg/dose inh CFC free,MDI,63387
R03AK11,0302000N0BDACBL,Flutiform 50micrograms/dose / 5micrograms/dose inhaler,MDI,61333
R03AC02,0301011R0BMAAAP,Airomir 100micrograms/dose inhaler,MDI,57830
R03BB04,0301020Q0AAAAAA,Tiotropium bromide 18microgram inhalation pdr caps with dev,DPI,57120
R03BB04,0301020Q0BBAAAA,Spiriva 18microgram inhalation pdr caps with HandiHaler,DPI,56866
R03BA01,0302000C0BPADBW,Clenil Modulite 250micrograms/dose inhaler,MDI,53937
R03AC02,0301011R0BMABBU,Airomir 100micrograms/dose Autohaler,MDI,53909
R03AK06,0302000N0BGACBG,AirFluSal 25micrograms/dose / 250micrograms/dose inhaler,MDI,53852
R03AK06,0302000N0AABEBE,Fluticasone 50microg / Salmeterol 25microg/dose inh CFC free,MDI,53681
R03AL07,0301040AABBAAAA,Bevespi Aerosphere 7.2microg / 5microg/dose pressurised inh,MDI,52585
R03BB04,0301020Q0AAAEAE,Tiotropium bromide 2.5micrograms/dose inhalation soln cart,SMI,52121
R03BA01,0302000C0BJADBH,Qvar 100 Autohaler,MDI,51824
