vmp_code,vmp_name,bnf_code,atc_code,type
39113611000001102,Salbutamol 100micrograms/dose inhaler CFC free,0301011R0AAAPAP,R03AC02,MDI
36049211000001106,Ipratropium bromide 20micrograms/dose breath actuated inhaler,0301020I0AAAGAG,R03BB01,MDI
36049311000001103,Ipratropium bromide 20micrograms/dose inhaler,0301020I0AAAAAA,R03BB01,MDI
39110811000001105,Salmeterol 25micrograms/dose inhaler,0301011U0AAACAC,R03AC12,MDI
35926711000001101,Sodium cromoglicate 5mg/dose inhaler,0303010Q0AAABAB,R03BC01,MDI
35926611000001105,Sodium cromoglicate 5mg/dose breath actuated inhaler,0303010Q0AAAHAH,R03BC01,MDI
36049411000001105,Ipratropium bromide 40micrograms/dose inhaler,0301020I0AAADAD,R03BB01,MDI
39110911000001100,Fluticasone 50micrograms/dose inhaler CFC free,0302000N0AABHBH,R03BA05,MDI
39111011000001108,Fluticasone 50micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,0302000N0AABEBE,R03AK06,MDI
39111111000001109,Fluticasone 125micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,0302000N0AABFBF,R03AK06,MDI
39111211000001103,Fluticasone 125micrograms/dose inhaler CFC free,0302000N0AABABA,R03BA05,MDI
39111311000001106,Fluticasone 250micrograms/dose / Salmeterol 25micrograms/dose inhaler CFC free,0302000N0AABGBG,R03AK06,MDI
39111411000001104,Fluticasone 250micrograms/dose inhaler CFC free,0302000N0AABCBC,R03BA05,MDI
36066611000001106,Fenoterol 100micrograms/dose / Ipratropium 40micrograms/dose inhaler,0301040M0AAAAAA,R03AL01,MDI
35912511000001101,Budesonide 200micrograms/dose inhaler,0302000K0AAADAD,R03BA02,MDI
36022911000001105,Oxitropium bromide 100micrograms/dose inhaler,0301020P0AAAAAA,R03BB02,MDI
36022811000001100,Oxitropium bromide 100micrograms/dose breath actuated inhaler,0301020P0AAABAB,R03BB02,MDI
36066711000001102,Fenoterol 100micrograms/dose / Ipratropium bromide 40micrograms/dose breath actuated inhaler,0301040M0AAACAC,R03AL01,MDI
35936711000001103,Salbutamol 200microgram inhalation powder blisters with device,0301011R0AAAIAI,R03AC02,DPI
35938011000001101,Salmeterol 50microgram inhalation powder blisters,0301011U0AAABAB,R03AC12,DPI
35936911000001101,Salbutamol 400microgram inhalation powder blisters with device,0301011R0AAAJAJ,R03AC02,DPI
35937811000001108,Salmeterol 50microgram inhalation powder blisters with device,0301011U0AAAAAA,R03AC12,DPI
35936611000001107,Salbutamol 200microgram inhalation powder blisters,0301011R0AAAKAK,R03AC02,DPI
35907611000001101,Beclometasone 100microgram inhalation powder blisters,0302000C0AAALAL,R03BA01,DPI
35907711000001105,Beclometasone 100microgram inhalation powder blisters with device,0302000C0AAAGAG,R03BA01,DPI
35936811000001106,Salbutamol 400microgram inhalation powder blisters,0301011R0AAALAL,R03AC02,DPI
35908311000001107,Beclometasone 200microgram inhalation powder blisters with device,0302000C0AAAHAH,R03BA01,DPI
